web-scraper-order,web-scraper-start-url,joblink,joblink-href,Job,company,Location,keyskills,experience
"1551707473-1677","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-43","Associate Consultant - Java Architect Automation Platform","https://www.naukri.com/job-listings-Associate-Consultant-Java-Architect-Automation-Platform-CGI-Information-Systems-and-Management-Consultants-Bengaluru-9-to-12-years-270219903277?src=premjobsearchDesk&sid=15517073963771&xp=6&px=43","null","null","null","null","null"
"1551710480-2722","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-22","Data Scientist - R/python/java","https://www.naukri.com/job-listings-Data-Scientist-R-python-java-Amanzi-Technologies-Private-Limited-Bengaluru-6-to-9-years-280219901749?src=premjobsearchDesk&sid=15517104022703&xp=11&px=22","Data Scientist - R/python/java","Amanzi Technologies Private Limited","Bengaluru","NLP     Neural Networks     Data Science     R     Machine Learning     Java     Python     Data Mining     Regression Analysis     Statistics","6 - 9 yrs"
"1551710922-2884","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-8","Tech Lead","https://www.naukri.com/job-listings-Tech-Lead-BCITS-Private-Limited-Bengaluru-Hebbal-6-to-8-years-020319004911?src=premjobsearchDesk&sid=15517109462706&xp=49&px=8","Tech Lead","BCITS Private Limited","Bengaluru(Hebbal)","spring mvc     hibernate     bootstrap     jquery     postgresql     oracle     web technologies     tech lead","6 - 8 yrs"
"1551709570-2399","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-28","Dot Net Developer","https://www.naukri.com/job-listings-Dot-Net-Developer-Addnode-India-Pvt-Ltd-Pune-7-to-11-years-270219003156?src=premjobsearchDesk&sid=15517095509489&xp=34&px=28","Dot Net Developer","Addnode India Pvt Ltd","Pune","c#     asp.net     .net     javascript     oop     Dot net     ReactJs     AngularJS     typescript","7 - 11 yrs"
"1551709897-2516","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-26","Senior Software Engineer - Network Planning Software","https://www.naukri.com/job-listings-Senior-Software-Engineer-Network-Planning-Software-Ciena-India-Private-Ltd-Gurgaon-3-to-5-years-270219900602?src=premjobsearchDesk&sid=15517098381524&xp=17&px=26","Senior Software Engineer - Network Planning Software","Ciena India Private Ltd.","Gurgaon","SQL     Linux     XML     Hibernate     Networking     Telecom     Python     Troubleshooting     Data structures     Agile","3 - 5 yrs"
"1551707362-1631","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-44","Consultant, Robotic Process Automation","https://www.naukri.com/job-listings-Consultant-Robotic-Process-Automation-COLT-TECHNOLOGY-SERVCIES-INDIA-PRIVATE-LIMITED-Delhi-NCR-Bengaluru-1-to-5-years-220219000744?src=premjobsearchDesk&sid=15517072621477&xp=2&px=44","null","null","null","null","null"
"1551707220-1578","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","Associate Manager - Java","https://www.naukri.com/job-listings-Associate-Manager-Java-Allstate-Solutions-Private-Limited-Pune-9-to-12-years-270219007968?src=premjobsearchDesk&sid=15517071251135&xp=5&px=45","Associate Manager - Java","Allstate Solutions Private Limited","Pune","Java     J2Ee     Spring     C     Software Product Development     Web Technologies     Agile     Open Source     Project Execution     Customer Focus","9 - 12 yrs"
"1551709150-2258","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-31","Bogie Architect","https://www.naukri.com/job-listings-Bogie-Architect-Alstom-Transport-India-Ltd-Bengaluru-5-to-8-years-260219902073?src=premjobsearchDesk&sid=15517090989091&xp=25&px=31","Bogie Architect","Alstom Transport India Ltd.","Bengaluru","Bogie Architect     Bogie configuration     tuning strategy     architecture     configuration     commissioning     Engineering     product developments","5 - 8 yrs"
"1551709160-2261","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-31","Junior iOS Developer - Objective C/xcode","https://www.naukri.com/job-listings-Junior-iOS-Developer-Objective-C-xcode-CoutLoot-Startup-Mumbai-0-to-1-years-010319900117?src=premjobsearchDesk&sid=15517090989091&xp=22&px=31","Junior iOS Developer - Objective C/xcode","CoutLoot-Startup","Mumbai","XCode     Objective C     IOS     Swift     Apple     Web Services     Web Technologies     Core Network     Third Party     Performance Tuning     Junior iOS Developer","0 - 1 yrs"
"1551707071-1524","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-46","Software Engineer - Thread Stack Development - C/c++","https://www.naukri.com/job-listings-Software-Engineer-Thread-Stack-Development-C-c-Career-Infosystem-Bengaluru-5-to-10-years-281118008567?src=premjobsearchDesk&sid=15517069897683&xp=9&px=46","Software Engineer - Thread Stack Development - C/c++","Career Infosystem","Bengaluru","C     C++     RTOS     Software Engineering     Programming     Thread Stack development","5 - 10 yrs"
"1551709268-2295","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-30","Soln Architect / Java Architect (telecom Domain)","https://www.naukri.com/job-listings-Soln-Architect-Java-Architect-telecom-Domain-Toppersedge-com-India-Pvt-Ltd-Chennai-9-to-14-years-120618007035?src=premjobsearchDesk&sid=1551709259239&xp=38&px=30","Soln Architect / Java Architect (telecom Domain)","Toppersedge.com India Pvt Ltd","Chennai","Java     J2Ee     SOAP     Rest     SOA     Solution Architecting     solution architecture     solution technical architect     solution java architect     solution java architecture","9 - 14 yrs"
"1551710461-2715","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-22","Product Manager/product Solution Analyst/security Consultant","https://www.naukri.com/job-listings-Product-Manager-product-Solution-Analyst-security-Consultant-V-Employment-Solutions-Mumbai-4-to-9-years-280219901102?src=premjobsearchDesk&sid=15517104022703&xp=18&px=22","Product Manager/product Solution Analyst/security Consultant","V Employment Solutions","Mumbai","product management     business process     end user     information security     product manager     product solution analyst     Security Consultant     information security technology","4 - 9 yrs"
"1551710590-2763","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-21","Full-stack Developer - Planit Testing,hyderabad","https://www.naukri.com/job-listings-Full-stack-Developer-Planit-Testing-hyderabad-PLANIT-TESTING-INDIA-PRIVATE-LIMITED-Hyderabad-5-to-10-years-220119006769?src=premjobsearchDesk&sid=15517105371288&xp=20&px=21","Full-stack Developer - Planit Testing,hyderabad","PLANIT TESTING INDIA PRIVATE LIMITED","Hyderabad","javascript     asp.net mvc     jquery     c#     css     .net framework     c#.net     sharepoint development     html     azure     full stack developer","5 - 10 yrs"
"1551710485-2724","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-22","Front End Engineer - UI Development","https://www.naukri.com/job-listings-Front-End-Engineer-UI-Development-Intileo-Technologies-Bengaluru-2-to-6-years-280219901735?src=premjobsearchDesk&sid=15517104022703&xp=9&px=22","Front End Engineer - UI Development","Intileo Technologies","Bengaluru","CSS     Html5     UI Development     Angularjs     Object Oriented Programming     Front End     UX     Design Patterns     MVC     GIT","2 - 6 yrs"
"1551708869-2163","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-33","Senior Automation Engineer - Northgate Office park","https://www.naukri.com/job-listings-Senior-Automation-Engineer-Northgate-Office-park-Atmecs-Technologies-Pvt-Ltd-Bengaluru-Yelahanka-1-4-to-8-years-260219009075?src=premjobsearchDesk&sid=15517088082922&xp=20&px=33","Senior Automation Engineer - Northgate Office park","Atmecs Technologies Pvt Ltd","Bengaluru(Yelahanka, Venkatala)","Testng     QA Automation     Automation Framework     Ruby     Grid     Selenium     Java     Automation Testing     JUnit     Jenkins","4 - 8 yrs"
"1551708955-2193","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-32","Mechanical Engineer - Catia V5 (locomotive Domain)","https://www.naukri.com/job-listings-Mechanical-Engineer-Catia-V5-locomotive-Domain-QuEST-Global-Engineering-Services-Private-Limited-Bengaluru-3-to-5-years-260219900613?src=premjobsearchDesk&sid=15517089557973&xp=40&px=32","null","null","null","null","null"
"1551708454-2025","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-36","Android Developer - Oops/restful Api/json","https://www.naukri.com/job-listings-Android-Developer-Oops-restful-Api-json-S-A-W-IT-Services-Pvt-Ltd-Hyderabad-3-to-8-years-250219902657?src=premjobsearchDesk&sid=15517083601050&xp=8&px=36","Android Developer - Oops/restful Api/json","S.A.W IT Services Pvt Ltd","Hyderabad","Google Maps     Android Framework     JSON     Software Development     Android Application     Object Oriented Programming     Life Cycle     Google Analytics     Problem Solving     Android Developer","3 - 8 yrs"
"1551711301-3020","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-2","Lead SDET","https://www.naukri.com/job-listings-Lead-SDET-Neptune-consultants-Pune-8-to-13-years-040319003409?src=premjobsearchDesk&sid=15517112251550&xp=13&px=2","Lead SDET","Neptune consultants  hiring for Leading Product Based Company","Pune","Javascript     CSS     JSON     Web Development     Java     XML     Cucumber     Appium     Ruby     Selenium","8 - 13 yrs"
"1551708971-2199","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-32","Senior Retail Analytics Associate","https://www.naukri.com/job-listings-Senior-Retail-Analytics-Associate-Think-Analytics-Startup-Mumbai-2-to-5-years-010319900056?src=premjobsearchDesk&sid=15517089557973&xp=34&px=32","Senior Retail Analytics Associate","Think Analytics - Startup","Mumbai","R     Machine Learning     Python     Data Analytics     Data Visualization     Retail Analytics     Data Collection     Strategic Thinking     Problem Solving","2 - 5 yrs"
"1551709646-2428","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-28","Android Framework Engineer","https://www.naukri.com/job-listings-Android-Framework-Engineer-Shoonya-Bengaluru-Indira-Nagar-4-to-9-years-270219005261?src=premjobsearchDesk&sid=15517095509489&xp=5&px=28","Android Framework Engineer","Shoonya","Bengaluru(Indira Nagar)","android framework     ndk     AOSP     Middleware     HAL     SDK     C     C++     java","4 - 9 yrs"
"1551709669-2435","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-27","Senior Operations Research / Data Science","https://www.naukri.com/job-listings-Senior-Operations-Research-Data-Science-Sabre-Travel-Technologies-Pvt-Ltd-Bengaluru-5-to-8-years-270219005491?src=premjobsearchDesk&sid=15517096896357&xp=48&px=27","Senior Operations Research / Data Science","Sabre Travel Technologies Pvt. Ltd","Bengaluru","c     c++     java     python     data science     microservices     c#     r     agile development     data","5 - 8 yrs"
"1551710255-2641","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-23","Are you Looking for Opportunity as Sr/lead Net Developer","https://www.naukri.com/job-listings-Are-you-Looking-for-Opportunity-as-Sr-lead-Net-Developer-Chenoa-Information-Software-Services-Pvt-Ltd-Mumbai-Kalina-6-to-11-years-280219008963?src=premjobsearchDesk&sid=15517102587460&xp=42&px=23","Are you Looking for Opportunity as Sr/lead Net Developer","Chenoa Information  Software Services Pvt. Ltd.","Mumbai(Kalina)",".net     c#     API     SQL Server     ASP.Net     Javascript","6 - 11 yrs"
"1551710272-2647","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-23","Data Engineer - Rdbms/nosql/java","https://www.naukri.com/job-listings-Data-Engineer-Rdbms-nosql-java-Kshipra-Consulting-Bengaluru-2-to-5-years-280219900064?src=premjobsearchDesk&sid=15517102587460&xp=36&px=23","Data Engineer - Rdbms/nosql/java","Kshipra Consulting","Bengaluru","Java     J2Ee     Spring Boot     Web Services     NoSQL     TDD     Software Development     Python     Atdd     RDBMS","2 - 5 yrs"
"1551711035-2927","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-8","Java Developer","https://www.naukri.com/job-listings-Java-Developer-TECHBRO-SOFTWARE-PVT-LTD-Bengaluru-Pune-1-to-3-years-030319000404?src=premjobsearchDesk&sid=15517109462706&xp=6&px=8","Java Developer","TECHBRO SOFTWARE PVT. LTD.","Bengaluru,    Pune","Hibernate     Spring     JSP Servlets     Maven     Rest     Javascript     JSON     SOAP     Ajax     Core Java","1 - 3 yrs"
"1551707436-1662","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-43","MAC Developer","https://www.naukri.com/job-listings-MAC-Developer-Vmware-Software-India-Private-limited-Bengaluru-7-to-12-years-301018006843?src=premjobsearchDesk&sid=15517073963771&xp=21&px=43","MAC Developer","Vmware Software India Private limited","Bengaluru","Mac Os     cocoa     carbon     alumina","7 - 12 yrs"
"1551710426-2701","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-22","Salesforce Technical Architecture","https://www.naukri.com/job-listings-Salesforce-Technical-Architecture-Accenture-Hyderabad-1-to-5-years-280219901029?src=premjobsearchDesk&sid=15517104022703&xp=32&px=22","null","null","null","null","null"
"1551710757-2827","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-20","Senior Software Engineer - Dotnet","https://www.naukri.com/job-listings-Senior-Software-Engineer-Dotnet-Societe-Generale-Global-Solution-Centre-Bengaluru-5-to-7-years-250219901559?src=premjobsearchDesk&sid=15517106685705&xp=6&px=20","Senior Software Engineer - Dotnet","Societe Generale Global Solution Centre","Bengaluru","WCF     UML     Automation     Multithreading     Application development     Agile     Winforms     Coding     Scrum     Investment banking","5 - 7 yrs"
"1551707416-1653","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-43","VP / AVP - Stress Testing","https://www.naukri.com/job-listings-VP-AVP-Stress-Testing-Asterion-Consulting-Pvt-Ltd-Bengaluru-8-to-13-years-230219005342?src=premjobsearchDesk&sid=15517073963771&xp=30&px=43","null","null","null","null","null"
"1551706455-1299","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-50","Senior Sharepoint Developer - Moss/ Infopath","https://www.naukri.com/job-listings-Senior-Sharepoint-Developer-Moss-Infopath-ReadMind-info-Services-Bengaluru-4-to-9-years-270219900015?src=premjobsearchDesk&sid=15517064351525&xp=34&px=50","Senior Sharepoint Developer - Moss/ Infopath","ReadMind info Services","Bengaluru","Sharepoint Designer     ASP.Net     Nintex     SQL Server     InfoPath     Moss     Sharepoint Development     Devexpress     Javascript     Visual Studio","4 - 9 yrs"
"1551707515-1692","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-42","AMS Verification Engineer","https://www.naukri.com/job-listings-AMS-Verification-Engineer-Sankalp-Semiconductor-Pvt-ltd-Bengaluru-Ahmedabad-3-to-8-years-200119000711?src=premjobsearchDesk&sid=15517075195548&xp=41&px=42","AMS Verification Engineer","Sankalp Semiconductor Pvt. ltd","Bengaluru,    Ahmedabad","ams     Verification     soc     verilog     uvm","3 - 8 yrs"
"1551709732-2457","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-27","Front End/ UI Web Developer - Html/ CSS/ JavaScript","https://www.naukri.com/job-listings-Front-End-UI-Web-Developer-Html-CSS-JavaScript-Career-Infosystem-Bengaluru-7-to-10-years-270219007584?src=premjobsearchDesk&sid=15517096896357&xp=26&px=27","Front End/ UI Web Developer - Html/ CSS/ JavaScript","Career Infosystem","Bengaluru","HTML     CSS     Javascript     UX     Web Development     Web Technologies     Programming     Front End     Web Application     System Design     Web Developer","7 - 10 yrs"
